Sentences,Predicted Tags,Annotated by: Annotator 1,Annotated by: Annotator 2,Annotated by: Annotator 3
Thank u so much... Aapke madad se ham bahut kuch sikhe hai... Aap hamesa video banate rahiye... Again thanks a lot,"Thank you so much. Aapke madad se hum bahut kuch sikhe hain. Aap hamesha video banate rahiye. Again, thanks a lot.","Thank you so much. Aapki madad se hum bahut kuch seekhe hain. Aap hamesha video banate rahiye. Again, thanks a lot.","Thank you so much. Aapke madad se hum bahut kuch sikhe hai aap hamesha video banate rahiye. Again, thanks a lot.","Thank you so much. Aapke madad se hum bahut kuch seekhe hain. Aap hamesha video banate rahiye. Again, thanks a lot."
YouTube me short video bnane ke liye video kha se laye ya kha se video kat kre please Ishan bhai please 1 video bna dijiye is par,YouTube mein short video banane ke liye video kahaan se laaye ya kahaan se video cut karen please Ishan bhai please 1 video bana dijiye is par.,YouTube mein short video banane ke liye video kahaan se laaye ya kahaan se video cut karen please Ishan bhai please 1 video bana dijiye is par.,YouTube mein short video banane ke liye video kahaan se laaye ya kahaan se video cut karen please Ishan bhai please ek video bana dijiye is par.,"YouTube mein short video banane ke liye video kahan se laaye ya kahan se video cut karen please. Ishan bhai, please 1 video bana dijiye is par."
Abhi abhi to Kashmir se alag hua hai .....thoda wakt Dena chahiye ......,"Abhi abhi to Kashmir se alag hua hai, thoda waqt dena chahiye.","Abhi abhi toh Kashmir se alag hua hai, thoda waqt dena chahiye.","Abhi abhi to Kashmir se alag hua hai, thoda waqt dena chahiye.",Abhi abhi to kashmir se alag hua hai thoda waqt dena chahiye.
Mai aapko bulana chahta hu apne gaw me aapka madat chahiye mere gaw me rasta nahi mil raha hai kam se kam 30 35 barash se please aapka madat chahiye Please number dijiye please,"Main aapko bulana chahta hoon, apne gaon mein mujhe aapki madad chahiye. Mere gaon mein rasta nahi mil raha hai, kam se kam 30-35 barish se. Please number dijiye.",Main aapko bulana chahta hoon apne gaon mein aapka madad chahiye mere gaon mein rasta nahi mil raha hai kam se kam 30 35 baras se please aapka madad chahiye. Please number dijiye please.,"Main aapko bulana chahta hu apne gaon mein mujhe aapki madad chahiye. mere gaon mein rasta nahi mil raha hai, kam se kam 30-35 barish se. Please number dijiye.","Main aapko bulana chahta hoon. Aapke gaon mein mujhe aapki madad chahiye. Mere gaon mein rasta nahin mil raha hai, kam se kam 30-35 barash se. Kripaya number dijiye."
Is movie se pahe ye koi nahi janta tha......kya vidambna hai,Is movie se pehle ye koi nahi janta tha... kya vidambana hai?,Es movie se pehle yeh koi nahi janta tha kya vidambana hai?,Is movie se pata ye koi nahi janta tha. Kya vidambna hai.,Is movie se pehle ye koi nahi janta tha kya vidambana hai?
Aur jiska adhar card 10 saal purana ho aur unse apna adhar card correction Kiya ho to usko bhi karna padega kya ye process,Aur jiska aadhaar card 10 saal purana ho aur usne apna aadhaar card correction kiya ho to usko bhi karna padega kya ye process.,Aur jiska Aadhaar card 10 saal purana ho aur usne apna Aadhaar card correction kiya ho toh usko bhi karna padega kya yeh process.,Aur jiska Aadhaar card 10 saal purana ho aur usne apna Aadhaar card correction kiya ho to usko bhi karna padega kya ye process.,Aur jiska aadhaar card 10 saal purana ho aur usne apna aadhaar card correction kiya ho to usko bhi karna padega kya ye process.
Ishan sir abhi ek video bahut chalrahi hai ki aadhaar card ko pan card ko link kare 31 March se pahle kiyaa yeh sahi hai pl reply zaroor kijyega,Ishan sir abhi ek video bahut chal rahi hai ki Aadhaar card ko PAN card ko link karen 31 March se pahle kya yeh sahi hai please reply zaroor kijiyega.,"Ishan sir abhi ek video bahut chal rahi hai ki Aadhaar card ko PAN card ko link kare 31 March se pehle, kya yeh sahi hai? Please reply zaroor kijiyega.",Ishan sir abhi ek video bahut chal rahi hai ki Aadhaar card ko PAN card ko link kare 31 March se pahle kya yeh sahi hai please reply zaroor kijiyega.,Ishan Sir abhi ek video bahut chal rahi hai ki Aadhaar card ko PAN card ko link karen 31 March se pahle kya yeh sahi hai please reply zaroor kijiyega.
Market wolf accha hai for all the beginners...usme stoploss lagane ka aur us app ko kaise use karen uspe ek video banayiye,"Market wolf accha hai for all beginners. Usme stoploss lagane ka aur us app ko kaise use karen, uspe ek video banayiye.",Market wolf achha hai for all the beginners. Usme stoploss lagane ka aur us app ko kaise use karein uspe ek video banaiye.,"Market wolf accha hai for all beginners. Usme stoploss lagane ka aur us app ko kaise use karen, uspe ek video banayiye.","Market wolf accha hai for all beginners. Usme stoploss lagane ka aur us app ko kaise use karen, uspe ek video banayiye."
We r with you modi jiiii The worst n the least way of political Approach on his mother.... It's so sad n bad,We are with you Modi ji. The worst and the least way of political approach on his mother. It's so sad and bad.,We are with you Modi ji. The worst and the least way of political approach on his mother. It's so sad and bad.,We are with you Modi ji. The worst and the least way of political approach on his mother. It's so sad and bad.,We are with you Modi ji. The worst and the least way of political approach on his mother. It's so sad and bad.
Ease Aadmi Ko Armye Me Kabhi Nahi Accept Karna Chahiya Ye Pstni Ko Accept Nahi Karts WO Desh Ko Kya Sabhalega,Ek aadmi ko army me kabhi nahi accept karna chahiye ye patni ko accept nahi karti wo desh ko kya sambhal lega,"Aise aadmi ko army mein kabhi nahi accept karna chahiye, yeh patni ko accept nahi karta woh desh ko kya sambhalega.",Ek aadmi ko army me kabhi nahi accept karna chahiye ye patni ko accept nahi karti wo desh ko kya sambhal lega.,Ease aadmi ko army mein kabhi nahi accept karna chahiya pe pstni ko Accept Nahi Karts WO desh ko kya Sabhalega.
Breast tax liya jata tha Jhadu bandh diya jata tha Padhai karne nhi diya jata tha Abhi 0hir se suru hogi sosan Jago sc st,Breast tax liya jata tha Jhadu bandh diya jata tha Padhai karne nhi diya jata tha Abhi aur se shuru hogi sosan Jago sc st,"Breast tax liya jata tha, jhadu bandh diya jata tha, padhai karne nahi diya jata tha, abhi phir se shuru hogi shoshan jago SC/ST.",Breast tax liya jata tha Jhadu bandh diya jata tha padhai karne nhi diya jata tha abhi aur se shuru hogi sosan Jago sc st.,Breast tax liya jata tha Jhadu bandh diya jata tha Padhai karne nhi diya jata tha Abhi 0hir se suru hogi sosan Jago sc st
"Mumkin nahi kya hai asambhav Urdu ka prasar, gulf se maal e ganimat","Mumkin nahi, kya hai asambhav? Urdu ka prasar, gulf se maal e ganimat","Mumkin nahi, kya hai asambhav? Urdu ka prasar, gulf se maal e ganimat.","Mumkin nahi, kya hai asambhav, Urdu ka prasar, Gulf se maal-e-ganimat.",Mumkin nahi kya hai asambhav urdu ka prasar gulf se maal e ganimat.
Bharat in mamlo me kamjor hai Kyu ki hum subko Bhai mante hai,Bharat in mamle mein kamzor hai kyunki hum sabko bhai maante hain,Bharat en mamle mein kamzor hai kyunki hum sabko bhai maante hain.,"Bharat in mamlo me kamzor hai, kyu ki hum sabko bhai mante hain.",Bharat in mamle me kamzor hai kyunki hum sabko bhai mante hai.
Lic ke ipo ki wajah se apply nahi karna iss ipo mein,LIC ke IPO ki wajah se apply nahi karna is IPO mein,LIC ke IPO ki wajah se apply nahi karna es IPO mein.,LIC ke IPO ki wajah se apply nahi karna iss IPO mein.,LIC ke IPO ki wajah se apply nahi karna is IPO me.
Sir iss app se mujhe deleted photos aur videos ko permanently kaise delete karna hai? please bataye... Sir,Sir iss app se mujhe deleted photos aur videos ko permanently kaise delete karna hai? please bataye. Sir,Sir is app se mujhe deleted photos aur videos ko permanently kaise delete karna hai? Please bataye sir.,Sir iss app se mujhe deleted photos aur videos ko permanently kaise delete karna hai? please bataye sir.,"Sir, iss app se mujhe deleted photos aur videos ko permanently kaise delete karna hai? Please bataye. Sir"
Sir please fast reply.. Sir aadhar se mobile no li k ni hai to kya pan aadhar link hoga... Please sir fast reply,Sir please fast reply. Sir aadhar se mobile no likh ke nahi hai to kya PAN aadhar link hoga? Please sir fast reply.,"Sir, please fast reply. Sir, Aadhar se mobile number link nahi hai toh kya PAN Aadhar link hoga? Please sir fast reply.",Sir please fast reply. Sir aadhar se mobile number link nahi hai to kya PAN Aadhar link hoga? Please sir fast reply.,Sir please fast reply. Sir Aadhaar se mobile no likh ke nahi hai to kya PAN Aadhaar link hoga? Please Sir fast reply.
Kya har 5 saal mein Naya fast tag Lena hoga ? ya sirf Jo 2019 se pehale ke hai unhe hi badla jaayega?,"Kya har 5 saal mein naya fast tag lena hoga? Ya sirf jo 2019 se pehle ke hain, unhe hi badal jaayega?","Kya har 5 saal mein naya fast tag lena hoga? Yaa sirf jo 2019 se pehle ke hain, unhe hi badla jaayega?",Kya har 5 saal mein naya fast tag lena hoga? Ya sirf jo 2019 se pehle ke hain unhe hi badla jaayega?,Kya har 5 saal mein naya fast tag lena hoga ya sirf jo 2019 se pehle ke hai unhe hi badal jaayega?
Bhai Gade murde ukhadene se kya fayda Aaj chin kaha he uski baat karo....,"Bhai Gade murde ukhadne se kya fayda? Aaj chin kaha hai, uski baat karo....","Bhai gade murde ukhadne se kya fayda? Aaj China kaha hai, uski baat karo.","Bhai, gade murde ukhadne se kya fayda? Aaj chin kaha hai, uski baat karo.",Bhai gade murde ukhadne se kya fayda aaj chin kaha hai uski baat karo.
Brahmano ka pratik hai ye videshi hai..... Ye hum bhartiya mulnisiyon ka nahi hai,"Brahmano ka pratik hai, ye videshi hai. Ye hum Bharatiya mulkiyon ka nahi hai.","Brahmano ka pratik hai, yeh videshi hai. Yeh hum Bharatiya mulkiyon ka nahi hai.","Brahmano ka pratik hai, ye videshi hai. Ye hum Bhartiya mulnivasiyon ka nahi hai.",Brahmano ka pratik hai ye videshi hai ye hum bharatiya mulkiyon ka nahi hai.
Aaj hi try karungi u r the best bharat bhai really your recipes are so yummmmyyyy it&#39;s awesome,Aaj hi try karungi you are the best Bharat bhai really your recipes are so yummy it's awesome,Aaj hi try karungi you are the best Bharat bhai really your recipes are so yummy it's awesome.,"Aaj hi try karungi. You are the best, Bharat bhai. Really, your recipes are so yummy. It's awesome.",Aaj hi try karungi you are the best bharat bhai really your recipes are so yummy it's awesome.
Very very thank you sir......Aap ek great personality ho sir Sandeep Maheshwari sir ki tarah .......Aap bhut achaa kaam kar rhe hoo,"Very very thank you, sir. Aap ek great personality hain, Sir Sandeep Maheshwari ki tarah. Aap bahut achha kaam kar rahe hain.","Very very thank you, sir aap ek great personality hain, sir Sandeep Maheshwari ki tarah. Aap bahut achha kaam kar rahe hain.","Very very thank you sir. Aap ek great personality ho sir, Sandeep Maheshwari sir ki tarah. Aap bhut achha kaam kar rahe ho.",Very very thank you sir aap ek great personality hai sir sandeep maheshwari ki tarah aap bahut acha kaam kar rahe hai.
Bharat mera cake iss method se salty ho gya tha...,Bharat mera cake is method se salty ho gaya tha...,Bharat mera cake is method se salty ho gaya tha.,Bharat mera cake iss method se salty ho gaya tha.,Bharat mera cake is method se salty ho gaya tha.
As usual ur recipe is so yummy.... But Bhai please agar apni kadahi ki link de dete to main v leti...,"As usual your recipe is so yummy... But bhai, please agar apni kadahi ki link de dete to main bhi leti.","As usual your recipe is so yummy, but bhai, please agar apni kadahi ki link de dete to main bhi leti.","As usual your recipe is so yummy. But Bhai, please, agar apni kadahi ki link de dete to main v leti.",As usual your recipe is so yummy but bhai please agar apni kadahi ki link de dete to main bhi leti.
Shri narendra modi ji jindabad Ham chahte hai ki hamare modi ji Har bar PM bane Jo mere pyare bhai bahin is bat se sahamt ho bo is coment ko like kare please Dhanaybad,"Shri Narendra Modi ji, Jindabad! Hum chahte hain ki hamare Modi ji har baar PM bane. Jo mere pyare bhai behen is baat se sahamat ho, to is comment ko like kare, please. Dhanyavaad.",Shri Narendra Modi Ji zindabad. Hum chahte hain ki hamare Modi Ji har baar PM bane. Jo mere pyare bhai behen is baat se sahamat hon woh is comment ko like kare please. Dhanyavad.,"Shri Narendra Modi ji, Jindabad hum chahte hai ki hamare Modi ji har baar PM bane jo mere pyare bhai behen is baat se sahamat ho to is comment ko like kare, please dhanyavaad.","Shri Narendra Modi ji jindabad. Ham chahte hain ki hamare Modi ji har bar PM bane. Jo mere pyare bhai bahin is bat se sahamt ho, bo is comment ko like kare. Please, Dhanyavad."
